bound_mode,mechanism,oversubscription,n_tenants,seed,valid_throughput_Bpns,admission_p99_ns,pinned_peak,reclaimable_capacity_frac,rpe_payload_frac,stale_admits,stale_admit_rate,retries,retries_per_descriptor,evict_fired,evict_blocked
capacity,GENONLY,8,16,1,1.728512,9.0,32,0.9375,0.17578125,0,0.0,0,0.0,2250,0
capacity,RECLAIM_DEFER,8,16,1,1.728512,9.0,256,0.5,0.17578125,0,0.0,0,0.0,2250,0
capacity,PROSE_HOSTSEL,8,16,1,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2250
capacity,PROSE,8,16,2,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2269
capacity,REFCNT,8,16,2,2.0971493785632767,509.0,256,0.5,0.0,0,0.0,0,0.0,0,2269
capacity,REFCNT_S,8,16,2,1.7281821597723004,525.6666666666667,32,0.9375,0.1759375,1126,0.1759375,1155,0.18046875,0,2269
capacity,2PHASE,8,16,2,2.0971153004822414,7009.0,256,0.5,0.0,0,0.0,0,0.0,0,2269
capacity,GENONLY,8,16,2,1.72539904,9.0,32,0.9375,0.177265625,0,0.0,0,0.0,2269,0
capacity,RECLAIM_DEFER,8,16,2,1.72539904,9.0,256,0.5,0.177265625,0,0.0,0,0.0,2269,0
capacity,PROSE_HOSTSEL,8,16,2,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2269
capacity,PROSE,8,16,3,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2163
capacity,REFCNT,8,16,3,2.0971493785632767,509.0,256,0.5,0.0,0,0.0,0,0.0,0,2163
capacity,REFCNT_S,8,16,3,1.716385694517882,525.6666666666667,32,0.9375,0.1815625,1162,0.1815625,1052,0.164375,0,2163
capacity,2PHASE,8,16,3,2.0971153004822414,7009.0,256,0.5,0.0,0,0.0,0,0.0,0,2163
capacity,GENONLY,8,16,3,1.74276608,9.0,32,0.9375,0.168984375,0,0.0,0,0.0,2163,0
capacity,RECLAIM_DEFER,8,16,3,1.74276608,9.0,256,0.5,0.168984375,0,0.0,0,0.0,2163,0
capacity,PROSE_HOSTSEL,8,16,3,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2163
capacity,PROSE,8,16,4,2.097152,9.0,32,0.9375,0.0,0,0.0,0,0.0,0,2184
capacity,REFCNT,8,16,4,2.0971493785632767,509.0,256,0.5,0.0,0,0.0,0,0.0,0,2184
