workload,seed,method,segment_bytes,makespan_ns,valid_throughput_gbps,total_requested_bytes,total_valid_bytes,total_stale_bytes,total_wire_bytes,total_control_bytes,total_header_bytes,stale_mib_per_gib,control_header_overhead_pct,completed_valid_requests,rejected_requests,aborted_requests,rpe_events,extra_rtt,serialized_acquire_ns,pin_span_ratio_median,pin_span_ratio_p95,evict_attempts_queue,evict_attempts_xfer,evict_attempts_total,evict_fired,evict_blocked,queue_reclaim,n_requests
large_object,1004,RDMAKey,0,96205302.62548886,3.1079251854126233,314572800,298998883,7971741,306970624,153600,0,25.949677734375,0.050037361229718184,1171,29,0,58,0,0.0,0.0,0.0,29,58,87,87,0,Y,1200
large_object,1004,Segmented-64,64,96544860.11571029,3.096994315820085,314572800,298998883,2013,299000896,37528712,74750224,0.006552734375,37.551371083516756,1171,29,58,58,0,0.0,0.0,0.0,29,58,87,87,0,Y,1200
large_object,1004,Segmented-256,256,96213486.62548886,3.1076608226854265,314572800,298998883,8861,299007744,9497592,18687984,0.028844401041666665,9.426369906994783,1171,29,58,58,0,0.0,0.0,0.0,29,58,87,87,0,Y,1200
large_object,1004,Segmented-4096,4096,96205806.62548886,3.1079089037104226,314572800,298998883,107421,299106304,737792,1168384,0.349677734375,0.6372904798422436,1171,29,58,58,0,0.0,0.0,0.0,29,58,87,87,0,Y,1200
large_object,1004,Segmented-16384,16384,96205422.62548886,3.1079213088013877,314572800,298998883,435101,299433984,299808,292416,1.4163444010416666,0.19778115766579119,1171,29,58,58,0,0.0,0.0,0.0,29,58,87,87,0,Y,1200
large_object,1004,PROSE,0,96205302.62548886,3.1907869485633786,314572800,306970624,0,306970624,153600,0,0.0,0.050037361229718184,1171,29,0,0,0,0.0,1.0,1.0,29,58,87,29,58,Y,1200
large_object,1005,NoCheck,0,99714795.73585553,2.9821815188563066,314572800,297367621,17205179,314572800,153600,0,56.006442057291665,0.048828125,1200,0,0,101,0,0.0,0.0,0.0,31,70,101,101,0,Y,1200
large_object,1005,SharedRef,0,99715045.73585553,3.1547175020437854,314572800,314572800,0,314572800,230400,0,0.0,0.0732421875,1200,0,0,0,1,250.0,2.1062692408253443,6.689677357760908,31,70,101,0,101,N,1200
large_object,1005,TwoPhase,0,99718331.73585553,3.154613545213268,314572800,314572800,0,314572800,307200,0,0.0,0.09765625,1200,0,0,0,1,3500.0,2.0605303317712513,6.64831786188789,31,70,101,0,101,N,1200
large_object,1005,GenOnly,0,99714831.73585553,2.9821804422006792,314572800,297367621,9078715,306446336,153600,0,29.553108723958335,0.05012296834901625,1169,31,0,70,0,0.0,0.0,0.0,31,70,101,101,0,Y,1200
large_object,1005,RDMAKey,0,99714831.73585553,2.9821804422006792,314572800,297367621,9078715,306446336,153600,0,29.553108723958335,0.05012296834901625,1169,31,0,70,0,0.0,0.0,0.0,31,70,101,101,0,Y,1200
large_object,1005,Segmented-64,64,100729661.86289561,2.952135602368553,314572800,297367621,2171,297369792,37324824,74342448,0.007067057291666666,37.551652859211735,1169,31,70,70,0,0.0,0.0,0.0,31,70,101,101,0,Y,1200
large_object,1005,Segmented-256,256,99731199.73585553,2.981691003292823,314572800,297367621,8635,297376256,9446608,18586016,0.028108723958333335,9.426651736445294,1169,31,70,70,0,0.0,0.0,0.0,31,70,101,101,0,Y,1200
large_object,1005,Segmented-4096,4096,99715839.73585553,2.98215029615875,314572800,297367621,137147,297504768,734664,1162128,0.4464420572916667,0.6375669246416917,1169,31,70,70,0,0.0,0.0,0.0,31,70,101,101,0,Y,1200
large_object,1005,Segmented-16384,16384,99715071.73585553,2.982173264516367,314572800,297367621,608187,297975808,299096,290992,1.979775390625,0.1980321838744708,1169,31,70,70,0,0.0,0.0,0.0,31,70,101,101,0,Y,1200
large_object,1005,PROSE,0,99714831.73585553,3.073227228741417,314572800,306446336,0,306446336,153600,0,0.0,0.05012296834901625,1169,31,0,0,0,0.0,1.0,1.0,31,70,101,31,70,Y,1200
large_object,1006,NoCheck,0,99277512.76090156,2.989745892555181,314572800,296814536,17758264,314572800,153600,0,57.80684895833333,0.048828125,1200,0,0,99,0,0.0,0.0,0.0,32,67,99,99,0,Y,1200
large_object,1006,SharedRef,0,99277762.76090156,3.1686129023436034,314572800,314572800,0,314572800,230400,0,0.0,0.0732421875,1200,0,0,0,1,250.0,1.9489744515259675,6.792356134981512,32,67,99,0,99,N,1200
large_object,1006,TwoPhase,0,99281435.76090156,3.1684956768512333,314572800,314572800,0,314572800,307200,0,0.0,0.09765625,1200,0,0,0,1,3500.0,1.9003415573134737,6.746071755037494,32,67,99,0,99,N,1200
large_object,1006,GenOnly,0,99277935.76090156,2.9897331539491367,314572800,296814536,9369656,306184192,153600,0,30.50018229166667,0.05016588184931507,1168,32,0,67,0,0.0,0.0,0.0,32,67,99,99,0,Y,1200
large_object,1006,RDMAKey,0,99277935.76090156,2.9897331539491367,314572800,296814536,9369656,306184192,153600,0,30.50018229166667,0.05016588184931507,1168,32,0,67,0,0.0,0.0,0.0,32,67,99,99,0,Y,1200
large_object,1006,Segmented-64,64,99873705.70499426,2.9718986985095674,314572800,296814536,2104,296816640,37255680,74204160,0.006848958333333334,37.55174912026496,1168,32,67,67,0,0.0,0.0,0.0,32,67,99,99,0,Y,1200
large_object,1006,Segmented-256,256,99302315.76090156,2.9889991358778083,314572800,296814536,8504,296823040,9429320,18551440,0.027682291666666668,9.426748004467578,1168,32,67,67,0,0.0,0.0,0.0,32,67,99,99,0,Y,1200
large_object,1006,Segmented-4096,4096,99132511.76090156,2.9941189901037633,314572800,296814536,141368,296955904,733592,1159984,0.4601822916666667,0.6376623513772604,1168,32,67,67,0,0.0,0.0,0.0,32,67,99,99,0,Y,1200
large_object,1006,Segmented-16384,16384,99129071.76090156,2.9942228927141983,314572800,296814536,505912,297320448,298776,290352,1.6468489583333332,0.19814580664159367,1168,32,67,67,0,0.0,0.0,0.0,32,67,99,99,0,Y,1200
large_object,1006,PROSE,0,99277935.76090156,3.084111183953363,314572800,306184192,0,306184192,153600,0,0.0,0.05016588184931507,1168,32,0,0,0,0.0,1.0,1.0,32,67,99,32,67,Y,1200
large_object,1007,NoCheck,0,96820250.64774248,3.0611417034883557,314572800,296380507,18192293,314572800,153600,0,59.21970377604167,0.048828125,1200,0,0,107,0,0.0,0.0,0.0,33,74,107,107,0,Y,1200
large_object,1007,SharedRef,0,96820500.64774248,3.2490309169593696,314572800,314572800,0,314572800,230400,0,0.0,0.0732421875,1200,0,0,0,1,250.0,2.4716910750654923,7.600734722004645,33,74,107,0,107,N,1200
large_object,1007,TwoPhase,0,96823768.64774248,3.2489212555282467,314572800,314572800,0,314572800,307200,0,0.0,0.09765625,1200,0,0,0,1,3500.0,2.4245671500564407,7.560427637865321,33,74,107,0,107,N,1200
large_object,1007,GenOnly,0,96820268.64774248,3.0611411343869537,314572800,296380507,9541541,305922048,153600,0,31.059703776041665,0.05020886889460154,1167,33,0,74,0,0.0,0.0,0.0,33,74,107,107,0,Y,1200
